Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Congo, Dem. Rep.",COD,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01,8.88,10.52,15.24,13.74,23.05,24.69,32.41,39.47,44.55,52.24,45.5,71.43,80.77,119.87,124.13,109.19,135.94,148.72,
"Congo, Rep.",COG,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,16.34,23.93,33.59,39.1,45.12,45.94,47.06,50.11,42.44,48.06,51.43,57.59,58.48,76.12,69.35,79.25,74.33,66.68,
Colombia,COL,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.68,538.62,680.56,715.79,842.07,975.42,1401.91,1587.54,2374.14,2716.76,3168.15,3541.21,4124.71,4589.7,5173.66,5409.93,6292.29,6681.57,7195.02,
Comoros,COM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.2,0.2,0.33,1.17,2.4,1.17,3.59,0.74,0.76,2.15,3.95,1.2,13.93,1.51,2.49,4.84,3.84,3.28,
Cabo Verde,CPV,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.67,0.17,2.39,1.63,0.37,4.14,2.67,2.47,5.04,3.55,2.7,4.22,7.69,8.99,10.55,8.14,14.98,8.69,
Costa Rica,CRI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.27,167.74,163.6,152.41,218.35,219.89,220.2,227.19,248.56,252.12,261.15,265.66,310.97,276.98,363.67,361.64,388.92,496.72,507.41,
Caribbean small states,CSS,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.399471719126,336.458015995882,324.178088407374,334.234306629324,384.385446608966,408.326443270565,379.097435237782,458.817455436635,485.600782706925,523.92,508.33,535.94,561.5,535.13,638.89,470.79,561.53,595.93,567.95,
Cuba,CUB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.6,994.67,953.09,782.43,781.51,960.75,1199.4,1102.09,1164.23,1418.65,1293.15,1515.26,1521.79,1577.61,1467.78,1324.8,1125.62,1117.6,968.74,
Curacao,CUW,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.51,130.78,191.59,171.76,243.78,309.17,345.94,417.12,502.69,649.97,705.92,758.88,799.38,963.42,915.53,935.15,1059.28,1193.38,1245.42,
